name	output
USA	[-3.885307949610018,-2.891789427033602,0.6369087056596543]
Malawi	[-2.8098785965983555,3.1473724328743553,1.3840541304819391]
France	[1.9237881405811739,0.07023792664462834,-2.3032494076051493]
USA	[1.9492084694585547,0.09441137123561237,-2.509802273164655]
Bahrain	[-4.087441989542934,-2.6943211183728297,0.59469552247889]
Japan	[1.3947696612683607,0.17794527493993545,-2.2907643624688574]
France	[4.061246857820833,-1.146567366039236,1.8618037061647026]
USA	[1.93347533966172,0.07788031459413162,-2.389223214440792]
USA	[-3.755437100225436,-2.680362415490299,0.6273800625110167]
USA	[-4.318654192032299,-3.0528833607978054,0.8625831040884693]
USA	[4.066630392451032,-1.145188346985471,1.8596218013078878]
USA	[1.9199276346360807,0.06758943642441524,-2.2764286779684344]
USA	[-2.8903261056630596,3.40041235684649,1.5004458989124982]
